Primary_Site,Protocol,Principal_Investigator,Date_Opened,Date_Closed,Study_Phase,Title,Study_Phase_numeric,Code_title,Study_Duration
Lymphoid Leukemia,PH-286916,"twist, c",2017-09-08,2022-11-29,II,INCB 18424-269 (COG AALL1521) A Phase 2 Study of the JAK1/JAK2 Inhibitor Ruxolitinib With Chemotherapy in Children With De Novo High-Risk CRLF2-Rearranged and/or JAK Pathway Mutant Acute Lymphoblastic Leukemia,2,COG AALL1521,1908 days
"Lymphoid Leukemia; Leukemia, other",N-2012021,"wang, e",2021-12-22,2022-10-20,I/II,A Phase I/II Study of AKR1C3-Activated Prodrug Obi-3424 (Obi-3424) in Patients with Relapsed/Refractory T-Cell Acute Lymphoblastic Leukemia (T-ALL)/T-Cell Lymphoblastic Lymphoma (T-LBL),-1,Obi-3424,302 days
Myeloid and Monocytic Leukemia,P-481719,"wang, e",2021-04-08,2023-02-21,I,"A Phase 1 First-In-Human Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Efficacy of AMG 427 in Subjects With Acute Myeloid Leukemia",1,,684 days
"Myeloid and Monocytic Leukemia; Leukemia, other",P-507719,"wang, e",2020-02-21,2022-01-07,I,A Phase 1b Trial of Magrolimab Monotherapy or Magrolimab in Combination with Azacitidine in Patients with Hematological Malignancies,1,,686 days
"Leukemia, other",P-550019,"wang, e",2021-02-03,2022-09-20,III,"A Randomized, Double-blind, Multicenter Study Comparing Magrolimab in Combination with Azacitidine versus Azacitidine Plus Placebo in Treatment-naïve Patients with Higher Risk Myelodysplastic Syndrome",3,,594 days
Myeloid and Monocytic Leukemia,P-1187721,"wang, e",2022-05-25,2022-10-25,II,A Phase 2 Multi-Arm Study of Magrolimab Combinations in Patients with Myeloid Malignancies,2,,153 days
Myeloid and Monocytic Leukemia,P-57117,"wang, e",2018-07-11,2022-09-19,I,"A Phase 1/2, Multi-center, Open-label Study of IMGN632 Monotherapy Administered Intravenously in Patients with CD123-positive Acute Myeloid Leukemia and Other CD123- positive Hematologic Malignancies",1,,1531 days
"Myeloid and Monocytic Leukemia; Leukemia, other",P-46617,"wang, e",2018-01-10,2022-06-30,I/II,Tagraxofusp (SL-401) in Patients with Chronic Myelomonocytic Leukemia (CMML) or Myelofibrosis (MF),-1,SL-401,1632 days
Multiple,P-762420,"zsiros, e",2022-03-17,2022-08-19,I,"20190131 A Phase 1, Multicenter, Open-label,Dose-Exploration and Dose-Expansion Study Evaluating the Safety,Tolerability,Pharmacokinetics, and Efficacy of AMG 650 in Subjects With Advanced Solid Tumors",1,,155 days
Multiple,P-1263921,"zsiros, e",2022-02-18,2022-12-07,I,"A Phase 1, multicenter, Open-Label Study of SQZ-AAC-HPV as Monotherapy and in Combination with Immune Checkpoint Inhibitors in HLA-A*02+ Patients with HPV16+ Recurrent, Locally Advanced or Metastatic Solid Tumors",1,,292 days
